rank,mark,wind,competitor,dob,nat,pos,empty_col,venue,date,results_score
16384,10.91,-0.8,Quanyan XIE,25 MAR 1995,CHN,4h6,,Zhaoqing (CHN),07 APR 2019,917
16384,10.91,+0.7,Yuhong HE,02 FEB 2001,CHN,4h7,,Zhaoqing (CHN),07 APR 2019,913
16384,10.91,+1.6,Jiawei CHE,22 MAR 2003,CHN,7h10,,Zhaoqing (CHN),07 APR 2019,913
16384,10.91,-1.3,Houssam HADDAOUI,,MAR,2,,Laayoune (MAR),07 APR 2019,920
16384,10.91,+0.2,Brandan HARLEY,,USA,2f1,,"Riverside, CA (USA)",12 APR 2019,913
16384,10.91,+1.0,Thaddeus PORTER,,USA,2f2,,"Birmingham, AL (USA)",12 APR 2019,913
16384,10.91,+1.1,Travonne ARMSTEAD,1998,USA,4h2,,"Hobbs, NM (USA)",12 APR 2019,913
16384,10.91,+1.2,Issac ROBERTS,,USA,3h11,,"Greensboro, NC (USA)",12 APR 2019,913
16384,10.91,-0.4,Christopher IUS,10 FEB 2000,AUS,3sf1,,Sydney (AUS),12 APR 2019,915
16384,10.91,+0.5,Zhijian DENG,05 MAR 2002,CHN,2h1,,Huangshi (CHN),12 APR 2019,913
16384,10.91,+0.4,DaRon BLAND,,USA,1f2,,"Davis, CA (USA)",13 APR 2019,913
16384,10.91,+1.3,Kizan DAVID,11 AUG 1998,SKN,1h3,,"Liberty, MO (USA)",13 APR 2019,913
16384,10.91,+0.1,Arrun PALACIO,,USA,2f2,,"Hayward, CA (USA)",13 APR 2019,913
16384,10.91,+1.6,John GREEN,,USA,5f1,,"Muncie, IN (USA)",13 APR 2019,913
16384,10.91,+0.1,Nantenaina RAKOTONIRINA,,MAD,3,,L'etang sale (FRA),13 APR 2019,913
16384,10.91,0.0,Nigel JENA,,USA,1f1,,"Louisville, KY (USA)",13 APR 2019,913
16384,10.91,0.0,Carlos Sebastian ABAN ORIHUELA,12 NOV 1998,BOL,2h1,,Cochabamba (BOL),14 APR 2019,913
16384,10.91,+0.3,Sulayman TOURAY,12 SEP 2001,GAM,4h3,,Abidjan (CIV),16 APR 2019,913
16384,10.91,+0.6,Jordan TAYLOR,2001,USA,4,,"Miami, FL (USA)",16 APR 2019,913
16384,10.91,+0.7,Carl MEYER,05 JAN 1999,RSA,3f3,,Potchefstroom (RSA),17 APR 2019,913
16384,10.91,-1.6,Terrell BRADFORD,,USA,4f2,,"Long Beach, CA (USA)",18 APR 2019,922
16384,10.91,+1.4,Jonathan RAINES,,USA,6h1,,"Torrance, CA (USA)",19 APR 2019,913
16384,10.91,+0.3,Trevor VOLPE,,USA,6h2,,"Torrance, CA (USA)",19 APR 2019,913
16384,10.91,+1.4,Tra'von PHILLIPS,13 MAY 1996,USA,6f2,,"Azusa, CA (USA)",19 APR 2019,913
16384,10.91,+0.8,Elijah PIERSON,,USA,5f3,,"Charlottesville, VA (USA)",19 APR 2019,913
16384,10.91,+1.5,Richard GILCHRIST,,USA,3f5,,"Charlottesville, VA (USA)",19 APR 2019,913
16384,10.91,+0.3,Kyle LICHTTENEGGER,,USA,2h2,,"La Crosse, WI (USA)",19 APR 2019,913
16384,10.91,+1.6,Will DANIELS,,USA,1ce2,,"Crete, NE (USA)",19 APR 2019,913
16384,10.91,+1.9,Ian CLOUGH,,USA,1h3,,"Cortland, NY (USA)",19 APR 2019,913
16384,10.91,+0.3,Corey CARROLL,,USA,1,,"Berea, KY (USA)",19 APR 2019,913
16384,10.91,+1.2,Justin PETERS,,USA,1f11,,"Long Beach, CA (USA)",20 APR 2019,913
16384,10.91,-2.5,Devin AUGUSTINE,2003,TTO,1h2,,Georgetown (CAY),20 APR 2019,928
16384,10.91,+2.0,Kirkland HILLS,,USA,5f1,,"Baton Rouge, LA (USA)",20 APR 2019,913
16384,10.91,+1.4,Tyrese MCPHATTER,1999,USA,3f5,,"Baton Rouge, LA (USA)",20 APR 2019,913
16384,10.91,+0.6,Josh EIKER,12 MAR 1998,USA,1f5,,"Auburn, AL (USA)",20 APR 2019,913
16384,10.91,+1.5,Daichi KOKUBO,29 AUG 2000,JPN,9h3,,Izumo (JPN),21 APR 2019,913
16384,10.91,+1.8,Jacobi HARDY,,USA,2f4,,"Norwalk, CA (USA)",23 APR 2019,913
16384,10.91,-0.4,Jae-duk KIM,14 MAY 1993,KOR,1f5,,Yecheon (KOR),24 APR 2019,915
16384,10.91,-0.8,Ntokoto NGESI,,RSA,5h7,,Germiston (RSA),25 APR 2019,917
16384,10.91,+0.8,Fabio YEBARTH,20 NOV 2000,ITA,5f1,,Modena (ITA),25 APR 2019,913
16384,10.91,+1.0,Emmanual JONES,,USA,3f1,,"Murrieta, CA (USA)",25 APR 2019,913
16384,10.91,+1.1,Vance BARNES,,USA,6h1,,"Des Moines, IA (USA)",26 APR 2019,913
16384,10.91,0.0,Carlos Sebastian ABAN ORIHUELA,12 NOV 1998,BOL,5h2,,Cochabamba (BOL),26 APR 2019,913
16384,10.91,+0.8,John III. KENDRICK,,USA,1f4,,"Irvine, CA (USA)",27 APR 2019,913
16384,10.91,-0.2,Preston PIERCE,,USA,5,,"Central, SC (USA)",27 APR 2019,914
16384,10.91,-0.7,Juan Carlos RODRIGUEZ MARROQUIN,19 DEC 1994,ESA,2,,San Salvador (ESA),27 APR 2019,917
16384,10.91,+0.5,Matthew GUILLORY,,USA,2h5,,"Claremont, CA (USA)",27 APR 2019,913
16384,10.91,+2.0,Andre CARR,1999,USA,5,,"Shippensburg, PA (USA)",27 APR 2019,913
16384,10.91,+0.3,Alexander MOLLICK,1996,USA,1h7,,"Shippensburg, PA (USA)",27 APR 2019,913
16384,10.91,+0.1,Deven WARD,,USA,3,,"Westerville, OH (USA)",27 APR 2019,913
16384,10.91,-0.6,Jorge RODRIGUEZ,23 FEB 1993,ESP,1,,Madrid (ESP),28 APR 2019,916
16384,10.91,+0.1,Youssef HDAR,03 FEB 2001,MAR,1,,Tahanaout (MAR),28 APR 2019,913
16384,10.91,-1.0,Sandro JOSEPH,,USA,3,,"Savannah, GA (USA)",28 APR 2019,919
16384,10.91,+0.9,Javier PINILLA,27 APR 1995,CHI,3f3,,Medellín (COL),01 MAY 2019,913
16384,10.91,+1.8,Emanuel STUBICAN,1998,GER,1f3,,"Rankbachstadion, Renningen (GER)",01 MAY 2019,913
16384,10.91,+1.7,Kainnan RAMSEY,,USA,4h2,,"Allendale, MI (USA)",02 MAY 2019,913
16384,10.91,-1.9,Gil-hoon KIM,13 NOV 2001,KOR,3,,Chungju (KOR),02 MAY 2019,924
16384,10.91,-0.8,Byong-chan KIM,23 OCT 1996,KOR,2h3,,Chungju (KOR),02 MAY 2019,917
16384,10.91,-1.5,Chang-sung YANG,01 JUN 1992,KOR,5sf2,,Chungju (KOR),02 MAY 2019,922
16384,10.91,+1.8,Ranyer PEGUERO,,DOM,5,,Santo Domingo (DOM),02 MAY 2019,913
16384,10.91,+1.6,Rakim MURPHY,,USA,2f2,,"Edwardsville, IL (USA)",03 MAY 2019,913
16384,10.91,+0.3,Lindon VICTOR,23 FEB 1993,GRN,1f6,,"Beaverton, OR (USA)",03 MAY 2019,913
16384,10.91,-0.3,Chris LEIBA,,USA,1h3,,"Fayette, MO (USA)",03 MAY 2019,914
16384,10.91,+0.7,Rin KOUNO,08 SEP 1999,JPN,1sf1,,Kochi (JPN),03 MAY 2019,913
16384,10.91,-0.6,Yuuto OOHARA,2001,JPN,1sf2,,Kochi (JPN),03 MAY 2019,916
16384,10.91,+1.7,Dajon WISEMAN,,USA,2h2,,"Newport News, VA (USA)",03 MAY 2019,913
16384,10.91,+0.1,Jim HOESLEY,,USA,3h2,,"Platteville, WI (USA)",03 MAY 2019,913
16384,10.91,+0.4,Carl Magnus SEELIGER,1996,GER,2h1,,Königswinter (GER),03 MAY 2019,913
16384,10.91,-0.9,Marko ČEKO,03 AUG 2000,CRO,2f4,,Zagreb (CRO),04 MAY 2019,918
16384,10.91,0.0,Roberto BUSTILLO,15 DEC 1994,BOL,4,,Tarija (BOL),04 MAY 2019,913
16384,10.91,+0.7,Bobby GABLEIN,1998,USA,8,,"Worcester, MA (USA)",04 MAY 2019,913
16384,10.91,+1.9,Lenyn Kish LEONCE,13 MAR 1991,LCA,4h2,,Le Lorrain (FRA),04 MAY 2019,913
16384,10.91,+1.6,Robbie RECORD,,USA,4h1,,"Youngstown, OH (USA)",04 MAY 2019,913
16384,10.91,+0.3,Davian POWELL,,USA,3h1,,"Amherst, MA (USA)",04 MAY 2019,913
16384,10.91,0.0,Rafael DE ANDRADE,17 AUG 2001,BRA,1h1,,Sao Bernardo do Campo (BRA),04 MAY 2019,913
16384,10.91,+1.8,Adam BROWN,,USA,1f2,,"Seattle, WA (USA)",04 MAY 2019,913
16384,10.91,+1.7,Chase KELLER,,USA,1f1,,"Lincoln, NE (USA)",04 MAY 2019,913
16384,10.91,+0.8,Nathan MARTIN,,USA,1f1,,"Mcminnville, OR (USA)",04 MAY 2019,913
16384,10.91,+0.8,Leighton GRIEP,,USA,5,,"Gulf Shores, AL (USA)",04 MAY 2019,913
16384,10.91,0.0,Isaiah MARECHEAU,,USA,11,,"Mission Viejo, CA (USA)",04 MAY 2019,913
16384,10.91,+0.8,Matthew LIENHARD,,USA,2,,"Troy, NY (USA)",04 MAY 2019,913
16384,10.91,-0.2,Julian PRATT,,USA,1,,"Pomona, NJ (USA)",05 MAY 2019,914
16384,10.91,+1.4,Corey JONES,,BAH,2h2,,"Winona Lake, IN (USA)",09 MAY 2019,913
16384,10.91,0.0,Noriaki IWAMOTO,29 MAY 1997,JPN,9h1,,Kyoto (JPN),09 MAY 2019,913
16384,10.91,+0.7,Masataka KITA,17 APR 1998,JPN,2h5,,Kyoto (JPN),09 MAY 2019,913
16384,10.91,+0.6,Cedric ASSEH,1996,USA,5h1,,"Muncie, IN (USA)",10 MAY 2019,913
16384,10.91,+0.1,Alvaro CASSIANI,08 FEB 1990,VEN,1h1,,Barquisimeto (VEN),10 MAY 2019,913
16384,10.91,+1.0,Florian DAUM,09 NOV 1990,GER,3,,Herborn (GER),10 MAY 2019,913
16384,10.91,+0.7,Randolph FRY,,USA,6h9,,"Naperville, IL (USA)",10 MAY 2019,913
16384,10.91,+0.7,Akeem HAYE,,USA,6h9,,"Naperville, IL (USA)",10 MAY 2019,913
16384,10.91,+1.0,Ife ADEYI,,USA,9,,"Austin, TX (USA)",10 MAY 2019,913
16384,10.91,+1.4,Tadiwanashe MHONDE,,ZIM,1h2,,"Cape Girardeau, MO (USA)",10 MAY 2019,913
16384,10.91,+2.0,Jordan HOWARD,,USA,1h1,,"New Haven, CT (USA)",10 MAY 2019,913
16384,10.91,+0.7,Faheem GILBERT,,USA,1h2,,"Berea, OH (USA)",10 MAY 2019,913
16384,10.91,-2.1,YUKI SHIMAMURA,12 DEC 1998,JPN,5,,Kyoto (JPN),10 MAY 2019,925
16384,10.91,-0.9,Rodrigo Willy BROER,27 AUG 1996,NED,2,,Vught (NED),11 MAY 2019,918
16384,10.91,+0.6,Mario VIGLIOTTI,18 MAY 1999,ITA,3f1,,Roma (ITA),11 MAY 2019,913
16384,10.91,+1.1,Alonzo TAYLOR-JONES,1999,USA,6h3,,"Terre Haute, IN (USA)",11 MAY 2019,913
16384,10.91,-0.5,Łukasz ŻOK,17 MAY 2001,POL,1h1,,Szprotawa (POL),11 MAY 2019,916
16384,10.91,+0.9,Mike VAN DER POEL,1996,CAN,3,,Halifax (CAN),11 MAY 2019,913
16384,10.91,0.0,Nathan BROWN,11 JAN 1988,GBR,1h1,,Ashford (GBR),11 MAY 2019,913
16384,10.91,-0.5,Piotr TARKOWSKI,10 AUG 1999,POL,1f1,,Biala Podlaska (POL),11 MAY 2019,916
16384,10.91,0.0,Jeffrey SANTOS,,USA,7,,"New Haven, CT (USA)",11 MAY 2019,913
16384,10.91,+1.1,Marcus PURCELL,2000,TTO,1f2,,Arima (TTO),11 MAY 2019,913
16384,10.91,+0.1,Derrick JACKSON,,USA,2,,"De Pere, WI (USA)",11 MAY 2019,913
16384,10.91,-0.7,Kaito KAWABATA,17 AUG 1998,JPN,1f1,,"Chukyo Univ. Stadium, Toyota (JPN)",11 MAY 2019,917
16384,10.91,-1.0,Kensho KAWAMURA,10 FEB 1998,JPN,1f2,,"Chukyo Univ. Stadium, Toyota (JPN)",11 MAY 2019,919
16384,10.91,+2.0,Ryouichi TANIGUCHI,07 DEC 2001,JPN,2sf2,,Tottori (JPN),11 MAY 2019,913
16384,10.91,-0.7,Patryk WYKROTA,13 NOV 2000,POL,3f1,,"Stadion AWF, Wrocław (POL)",11 MAY 2019,917
16384,10.91,+1.4,Enrico CAVAGNA,19 MAY 1999,ITA,4f1,,"Campo Coni, Bolzano (ITA)",11 MAY 2019,913
16384,10.91,-0.3,Riccardo FARRONI,28 JUL 1993,ITA,1f1,,"Stadio Nicola Serafini, Sulmona (ITA)",11 MAY 2019,914
16384,10.91,+1.1,Julian DOUGLAS,,USA,7,,"Richmond, VA (USA)",12 MAY 2019,913
16384,10.91,-1.1,Kei SERIKI,18 SEP 1994,JPN,2h8,,Gifu (JPN),12 MAY 2019,919
16384,10.91,+0.3,John OJUKWU,1993,USA,2,,"Williamstown, MA (USA)",15 MAY 2019,913
16384,10.91,+1.2,Jacob DEANDRADE,,USA,3h1,,"Cambridge, MA (USA)",16 MAY 2019,913
16384,10.91,-1.1,Cameron DOBBINS,,USA,2f2,,"New Haven, CT (USA)",16 MAY 2019,919
16384,10.91,-0.1,Tsubasa EMURA,05 APR 1997,JPN,5sf3,,Gifu (JPN),17 MAY 2019,913
16384,10.91,-0.1,Tsubasa ITO,26 MAR 2000,JPN,6sf3,,Gifu (JPN),17 MAY 2019,913
16384,10.91,0.0,Alejandro Antonio RICKETTS,11 MAY 2003,CRC,1,,San Salvador (ESA),17 MAY 2019,913
16384,10.91,+0.5,Kenta OWAKI,30 MAR 2000,JPN,2sf2,,Okayama (JPN),17 MAY 2019,913
16384,10.91,-0.7,Shengjie WANG,31 MAR 2000,CHN,2h10,,Wuhu (CHN),17 MAY 2019,917
16384,10.91,+0.7,Milan PÍREK,17 JUL 1987,CZE,3f2,,Plzen (CZE),18 MAY 2019,913
16384,10.91,+1.2,Kacper AMBROZY,21 FEB 1996,POL,3f1,,Kraków (POL),18 MAY 2019,913
16384,10.91,+1.2,Mateusz WRÓBEL,04 SEP 2000,POL,4f1,,Kraków (POL),18 MAY 2019,913
16384,10.91,+1.2,Manel MIRALLES,19 APR 1993,ESP,1ce4,,Alhama de Murcia (ESP),18 MAY 2019,913
16384,10.91,-0.3,Hiroki OISHI,02 SEP 1992,JPN,3h11,,Kumagaya (JPN),18 MAY 2019,914
16384,10.91,+0.2,Franco AGUILAR,02 MAY 1996,CHI,1h1,,Santiago de Chile (CHI),18 MAY 2019,913
16384,10.91,+0.2,Jerome LAPORAL,15 SEP 1993,FRA,3f2,,Villeneuve d'Ascq (FRA),19 MAY 2019,913
16384,10.91,-1.6,Mathias Hove JOHANSEN,27 SEP 1998,NOR,3,,Bergen (NOR),22 MAY 2019,922
16384,10.91,+0.7,Max Patrick SPITZER,1999,GER,1,,Dortmund (GER),22 MAY 2019,913
16384,10.91,+1.4,Marlon HOGG-WILLIAMS,27 OCT 1998,GBR,4f2,,Lee Valley (GBR),22 MAY 2019,913
16384,10.91,+0.7,David BOAKYE,,GBR,3f3,,Lee Valley (GBR),22 MAY 2019,913
16384,10.91,-1.3,Xinyue PAN,17 JAN 1993,CHN,6,,Jinhua (CHN),22 MAY 2019,920
16384,10.91,-0.6,Lorenz STYLES,,USA,3,,"Pickerington, OH (USA)",22 MAY 2019,916
16384,10.91,-0.7,Kazuma NAITO,15 SEP 1997,JPN,6h1,,Sagamihara (JPN),23 MAY 2019,917
16384,10.91,-0.1,Costin Florian HOMIUC,1997,ROU,2h3,,Bucuresti (ROU),24 MAY 2019,913
16384,10.91,+1.1,Takaya NAOI,16 SEP 1997,JPN,8sf2,,Sagamihara (JPN),24 MAY 2019,913
16384,10.91,+0.7,Martin ROE,01 APR 1992,NOR,3ce4,,"Mösle-Stadium, Götzis (AUT)",25 MAY 2019,913
16384,10.91,+1.1,Eelco SINTNICOLAAS,07 APR 1987,NED,5ce5,,"Mösle-Stadium, Götzis (AUT)",25 MAY 2019,913
16384,10.91,-1.3,Simon HANSEN,30 JUN 1998,DEN,3h2,,Oordegem (BEL),25 MAY 2019,920
16384,10.91,-1.3,Hao-Chuan YUEHLIU,10 NOV 2000,TPE,3h7,,Taipei (TPE),25 MAY 2019,920
16384,10.91,+1.4,Bartosz TARADAJ,22 DEC 2001,POL,1h1,,Bielsko-Biala (POL),25 MAY 2019,913
16384,10.91,+1.4,Julien SERAIN,22 SEP 1996,FRA,7f1,,Sarcelles (FRA),25 MAY 2019,913
16384,10.91,+0.4,Ismail BEDEL,29 MAY 1997,FRA,2h1,,Sarcelles (FRA),25 MAY 2019,913
16384,10.91,+0.7,Jeff-terson DUTHIL,15 MAY 1997,FRA,1h5,,Sarcelles (FRA),25 MAY 2019,913
16384,10.91,+0.7,Julien SERAIN,22 SEP 1996,FRA,1h5,,Sarcelles (FRA),25 MAY 2019,913
16384,10.91,+1.5,Jack OLIVIER,26 DEC 2001,FRA,1,,Versailles (FRA),25 MAY 2019,913
16384,10.91,0.0,Colin SCHILLER,2000,GER,2f2,,Weinheim (GER),25 MAY 2019,913
16384,10.91,-1.4,Darien JOHNSON,28 JUL 1993,USA,3h3,,"Atlanta, GA (USA)",25 MAY 2019,921
16384,10.91,+1.3,Gunell VAUGHN-JACKSON,1999,USA,1h3,,New Jersey (USA),25 MAY 2019,913
16384,10.91,+0.5,Dániel ILLOVSZKY,05 MAY 2000,HUN,1f1,,"Bregyó Athletic Center, Székesfehérvár (HUN)",25 MAY 2019,913
16384,10.91,+0.8,Guilherme DOS SANTOS,15 AUG 2000,BRA,1,,Maringa (BRA),25 MAY 2019,913
16384,10.91,+1.8,Louis PARDOS,2001,GER,1h1,,Berlin (GER),25 MAY 2019,913
16384,10.91,-0.3,Vojtěch SVOBODA,23 MAR 1995,CZE,5f1,,Turnov (CZE),28 MAY 2019,914
16384,10.91,+0.3,Zeon BASS,1995,SKN,3h1,,Toronto (CAN),28 MAY 2019,913
16384,10.91,+1.1,Halou-Gee TRAORÉ,18 APR 1997,SUI,2,,La Chaux-de-Fonds (SUI),29 MAY 2019,913
16384,10.91,-0.2,Hang DONG,13 JAN 1999,CHN,4h1,,Luoyang (CHN),29 MAY 2019,914
16384,10.91,+2.0,Niels KERKHOFS,25 FEB 2001,BEL,1h2,,Heusden-Zolder (BEL),30 MAY 2019,913
16384,10.91,+2.0,Victor HOFMANS,08 APR 1994,BEL,2h2,,Heusden-Zolder (BEL),30 MAY 2019,913
16384,10.91,+1.5,Jonas HÜGEN,1994,GER,2h3,,Köln (GER),30 MAY 2019,913
16384,10.91,-0.9,Jaylen GRANT,,USA,2h3,,"La Crosse, WI (USA)",31 MAY 2019,918
16384,10.91,+0.4,Jonathan MUTEBWA,11 JAN 1993,NED,1h3,,Oordegem (BEL),01 JUN 2019,913
16384,10.91,+0.2,Nicolas GRIMAULT,02 NOV 1991,FRA,4f1,,Les Sables (FRA),01 JUN 2019,913
16384,10.91,+0.6,Patryk KRUPA,21 APR 2002,POL,1h2,,Zamość (POL),01 JUN 2019,913
16384,10.91,+0.4,Fabrizio CEGLIE,18 FEB 1999,ITA,3f1,,Vicenza (ITA),01 JUN 2019,913
16384,10.91,0.0,Alassane THIAW,04 MAR 1995,FRA,2f1,,Montgeron (FRA),01 JUN 2019,913
16384,10.91,0.0,David CAMARA,04 FEB 1998,GAM,8f1,,Montgeron (FRA),01 JUN 2019,913
16384,10.91,+0.5,Jakub PIETRUSA,09 FEB 2002,POL,1f1,,Kraków (POL),01 JUN 2019,913
16384,10.91,-0.2,Jonas KRIESAMER,1995,GER,7h1,,Jena (GER),01 JUN 2019,914
16384,10.91,+1.3,Sergio RODRIGUEZ,27 OCT 1998,ESP,3,,San Sebastián (ESP),02 JUN 2019,913
16384,10.91,-0.7,Bailey WRIGHT,,GBR,3h3,,Bedford (GBR),02 JUN 2019,917
16384,10.91,-0.1,Jonathan BRACE,17 AUG 1995,FIN,7f1,,Lahti (FIN),05 JUN 2019,913
16384,10.91,+0.8,Hajatiana RANDRIANASOLO,24 OCT 1993,FRA,1f2,,Poitiers (FRA),05 JUN 2019,913
16384,10.91,+0.2,Anders PIHLBLAD,11 DEC 1998,SWE,1h5,,Skara (SWE),06 JUN 2019,913
16384,10.91,0.0,Viktor THOR,17 MAR 2000,SWE,1h9,,Skara (SWE),06 JUN 2019,913
16384,10.91,-2.0,Eu-bin KANG,21 SEP 1993,KOR,6,,Gwangju (KOR),06 JUN 2019,925
16384,10.91,+0.8,Bachana KHORAVA,15 MAR 1993,GEO,,,Baku (AZE),07 JUN 2019,913
16384,10.91,-1.8,Nicardo BLAKE,,USA,1h1,,"Middletown, NY (USA)",07 JUN 2019,923
16384,10.91,-0.4,André PRAZERES,23 MAY 1999,POR,8f2,,Salamanca (ESP),08 JUN 2019,915
16384,10.91,+0.8,Nemanja BULAJIĆ,26 JAN 1996,SRB,5f1,,Beograd (SRB),08 JUN 2019,913
16384,10.91,+1.1,Mustapha MANGA,11 FEB 1993,GAM,1h4,,Campi Bisenzio (ITA),08 JUN 2019,913
16384,10.91,0.0,Emiliano AGUILAR,,MEX,4,,Guanajuato (MEX),08 JUN 2019,913
16384,10.91,-0.2,Diego HERNANDEZ,2002,MEX,2h2,,Guanajuato (MEX),08 JUN 2019,914
16384,10.91,+1.0,Dan PUTMAN,30 DEC 1991,GBR,8f1,,Hendon (GBR),09 JUN 2019,913
16384,10.91,0.0,Pablo MATEO,01 FEB 2001,FRA,3f4,,Cergy-Pontoise (FRA),10 JUN 2019,913
16384,10.91,0.0,Harold KPENOU,20 JUL 1994,FRA,4f4,,Cergy-Pontoise (FRA),10 JUN 2019,913
16384,10.91,+0.2,Yoann IBEKA,02 JUN 1998,FRA,6h2,,Cergy-Pontoise (FRA),10 JUN 2019,913
16384,10.91,+0.7,Innocent BOLONGO,05 SEP 1989,BUR,5h3,,Cergy-Pontoise (FRA),10 JUN 2019,913
16384,10.91,+1.9,Milo ZECH WALLEBROEK,1999,NED,3h6,,Tilburg (NED),10 JUN 2019,913
16384,10.91,+0.7,Mohamad ABU-ANZA,19 SEP 2000,ISR,1,,Tel Aviv (ISR),11 JUN 2019,913
16384,10.91,+2.0,Mohamad ABU-ANZA,19 SEP 2000,ISR,1h2,,Tel Aviv (ISR),11 JUN 2019,913
16384,10.91,+0.8,Amit ROTMAN,10 APR 2002,ISR,1h2,,Tel Aviv (ISR),11 JUN 2019,913
16384,10.91,+1.9,Juan GONZÁLEZ,26 JAN 2000,ESP,1h1,,Castellón (ESP),12 JUN 2019,913
16384,10.91,+1.8,Erik MIKKELJORD,01 FEB 1999,NOR,5,,"Bislett, Oslo (NOR)",13 JUN 2019,913
16384,10.91,+1.8,Sondre Faugstad AMUNDSEN,25 SEP 1998,NOR,5,,"Bislett, Oslo (NOR)",13 JUN 2019,913
16384,10.91,+0.5,Loic HERKENRATH,11 JUL 1994,FRA,1,,Nogent-sur-Marne (FRA),13 JUN 2019,913
16384,10.91,+0.5,Harold KPENOU,20 JUL 1994,FRA,2,,Nogent-sur-Marne (FRA),13 JUN 2019,913
16384,10.91,-1.2,Hyeonseok JEONG,28 OCT 1991,KOR,5sf1,,Kimchun (KOR),13 JUN 2019,920
16384,10.91,-1.2,In-ho BAN,14 JUL 2000,KOR,6sf1,,Kimchun (KOR),13 JUN 2019,920
16384,10.91,+0.6,Joakim GÉNÉREUX,29 MAR 2001,CAN,5h3,,"Greensboro, NC (USA)",14 JUN 2019,913
16384,10.91,+0.3,Christopher PIGATT,,USA,4h4,,"Greensboro, NC (USA)",14 JUN 2019,913
16384,10.91,+0.9,Ugur Aziz GÜNAYDIN,14 DEC 2000,TUR,4,,Ankara (TUR),14 JUN 2019,913
16384,10.91,+0.2,Demarcus FLEMING,21 DEC 2001,USA,8,,"Greensboro, NC (USA)",15 JUN 2019,913
16384,10.91,-0.9,Juan GONZÁLEZ,26 JAN 2000,ESP,2sr2,,Soria (ESP),15 JUN 2019,918
16384,10.91,+0.4,William AGUESSY,09 JUN 2001,FRA,4h1,,Mont-de-Marsan (FRA),15 JUN 2019,913
16384,10.91,+1.1,Nicolas GABORIT,04 FEB 1998,FRA,3f1,,Nantes (FRA),15 JUN 2019,913
16384,10.91,+0.2,Anthony MUGERIN,30 APR 1999,FRA,3,,Baie Mahault (FRA),15 JUN 2019,913
16384,10.91,+0.3,Anthony MUGERIN,30 APR 1999,FRA,2h2,,Baie Mahault (FRA),15 JUN 2019,913
16384,10.91,-1.4,Jean Cristian ZIRIGNON,03 JUL 1995,SWE,3f1,,Huddinge (SWE),15 JUN 2019,921
16384,10.91,-1.1,Jhony Stewar CORDOBA RIVAS,18 JUL 1992,COL,1f3,,Bogotá (COL),15 JUN 2019,919
16384,10.91,-0.7,Javier CANCELA,05 JUL 1990,ESP,3,,Valladolid (ESP),16 JUN 2019,917
16384,10.91,-0.2,Faniry Jaony RANDRIANARIVO,,MAD,1h7,,Tomblaine (FRA),16 JUN 2019,914
16384,10.91,+1.1,Martin BARON,20 DEC 1997,FRA,4h1,,Bruay-la-Buissiere (FRA),16 JUN 2019,913
16384,10.91,+0.6,Asuma KAWAKAMI,26 AUG 1999,JPN,4f2,,"Tokai University Stadium, Hiratsuka (JPN)",16 JUN 2019,913
16384,10.91,+1.4,Akitaka INAGAKI,24 SEP 1997,JPN,7f3,,"Tokai University Stadium, Hiratsuka (JPN)",16 JUN 2019,913
16384,10.91,-0.9,Ferhat AYAR,09 MAR 2002,TUR,1,,Kropyvnytskiy (UKR),18 JUN 2019,918
16384,10.91,+0.5,Jordi BELENGUER,08 NOV 1998,ESP,4,,Barcelona (ESP),19 JUN 2019,913
16384,10.91,0.0,Arnaud VERGÈRES,25 JUL 1995,SUI,1f2,,Thun (SUI),19 JUN 2019,913
16384,10.91,+0.1,Martin FUCHS,14 FEB 1999,SUI,3h2,,Thun (SUI),19 JUN 2019,913
16384,10.91,+0.6,Sahid DIALLO,,GBR,4f2,,Lee Valley (GBR),19 JUN 2019,913
16384,10.91,+1.7,Chad JONES,1999,JAM,4pr2,,Kingston (JAM),20 JUN 2019,913
16384,10.91,-0.8,Orlando MOORE,,JAM,2pr3,,Kingston (JAM),20 JUN 2019,917
16384,10.91,-0.7,Marvin Lee KÜHNEN,2000,GER,2,,Zeulenroda (GER),21 JUN 2019,917
16384,10.91,+1.3,Marvin Lee KÜHNEN,2000,GER,1h2,,Zeulenroda (GER),21 JUN 2019,913
16384,10.91,+0.7,Markus GREUFE,1995,GER,4h1,,Leverkusen (GER),21 JUN 2019,913
16384,10.91,+1.1,Faniry Jaony RANDRIANARIVO,,MAD,1h2,,Amneville (FRA),21 JUN 2019,913
16384,10.91,0.0,Shoki IKEZAWA,09 APR 1997,JPN,4h3,,Kyoto (JPN),21 JUN 2019,913
16384,10.91,-1.0,Ko HIGASHIBATA,14 APR 1998,JPN,4h6,,Kyoto (JPN),21 JUN 2019,919
16384,10.91,+1.8,Arthur PINTER,2001,BEL,3f2,,Nivelles (BEL),22 JUN 2019,913
16384,10.91,+0.7,Frederik SCHOU-NIELSEN,05 MAY 1995,DEN,3h2,,Nivelles (BEL),22 JUN 2019,913
16384,10.91,+0.1,David KOLÁŘ,27 MAR 1997,CZE,1h2,,Kolin (CZE),22 JUN 2019,913
16384,10.91,+1.1,Sidney LEGER,02 MAR 2002,SWE,1,,St-Etienne (FRA),22 JUN 2019,913
16384,10.91,-0.7,Rui CORVELO,03 MAR 2001,POR,3h1,,Vagos (POR),22 JUN 2019,917
